SKU,Cut,Finish,Alloy,Height,Width,Price,Name
OA7411-3,3',Clear Anodized,6063-T5,"1  3/64""","9/64""",9.12,"H Connector - Fits 9/64"""
OA7411-6,6',Clear Anodized,6063-T5,"1  3/64""","9/64""",15.92,"H Connector - Fits 9/64"""
OA7412-3,3',Clear Anodized,6063-T5,"1  3/64""","1/4""",11.31,"H Connector - Fits 1/4"""
OA7412-6,6',Clear Anodized,6063-T5,"1  3/64""","1/4""",19.79,"H Connector - Fits 1/4"""
