SKU,Cut,Finish,Alloy,OD (in),OD (mm),Price,Wall,Name
OA9149,6',Mill Finish,6061-T6,"1/2""",0,9.36,"1/8""","Hollow Hexes: 1/2"" OD, 1/8"" Wall"
OA9150,6',Mill Finish,6061-T6,"5/8""",0,12.43,"1/8""","Hollow Hexes: 5/8"" OD, 1/8"" Wall"
OA9151,6',Mill Finish,6061-T6,"3/4""",0,15.6,"1/8""","Hollow Hexes: 3/4"" OD, 1/8"" Wall"
OA9152,6',Mill Finish,6061-T6,"1""",0,21.84,"1/8""","Hollow Hexes: 1"" OD, 1/8"" Wall"
OA9153,6',Mill Finish,6061-T6,"1-1/4""",0,28.08,"1/8""","Hollow Hexes: 1-1/4"" OD, 1/8"" Wall"
OA9154,6',Mill Finish,6061-T6,"1-1/2""",0,34.32,"1/8""","Hollow Hexes: 1-1/2"" OD, 1/8"" Wall"
OA9155,6',Mill Finish,6061-T6,"1""",0,37.39,"1/4""","Hollow Hexes: 1"" OD, 1/4"" Wall"
OA9156,6',Mill Finish,6061-T6,"1-1/2""",0,34.32,"1/4""","Hollow Hexes: 1-1/2"" OD, 1/4"" Wall"
