SKU,Cut,Finish,Alloy,Wall,ID (in),OD (in),Price,Name
OA7644,5',Mill Finish,6063-T5,"2/15""","1""","1-23/73""",14.83,"1-23/73"" NPS Schedule 40 Pipe"
OA7645,5',Mill Finish,6063-T5,"7/50""","1-1/4""","1-33/50""",20.05,1-1/4 NPS Schedule 40 Pipe
OA7595,5',Mill Finish,6063-T5,"10/69""","1-1/2""","1-9/10""",23.98,1-1/2 NPS Schedule 40 Pipe
OA7646,5',Mill Finish,6063-T5,"2/13""","2""","2-3/8""",32.25,"2-3/8"" NPS Schedule 40 Pipe"
